実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"284,680.9 ","166,308.2 ","163,945.3 ","137,161.7 ","20,575.5 ","37,309.0 ",436.4 ,"49,186.9 ","28,018.9 ",-428.8 ,"-3,247.4 ","19,332.9 ","22,580.3 ","-13,477.8 ",,"3,967.6 ","288,648.5 ",969.5 ,"5,032.0 ","4,062.6 ","289,618.0 ",,"297,404.4 ","221,663.3 ","76,147.3 ",,"82,366.4 ",,"284,631.7 ",,,
1983/ 1- 3.,"286,106.4 ","166,195.9 ","163,754.1 ","136,847.1 ","20,613.8 ","37,623.6 ",-231.5 ,"50,231.1 ","28,070.6 ",-390.8 ,"-2,604.9 ","19,540.3 ","22,145.2 ","-13,401.3 ",,"4,602.5 ","290,708.8 ",504.9 ,"3,861.1 ","3,356.2 ","291,213.7 ",,"297,716.1 ","220,966.5 ","77,255.5 ",,"82,807.1 ",,"287,027.8 ",,,
4- 6.,"288,533.4 ","167,079.1 ","164,554.7 ","137,493.8 ","18,602.9 ","38,778.7 ",455.4 ,"50,511.6 ","27,883.9 ",-334.0 ,"-2,312.6 ","19,825.6 ","22,138.2 ","-12,131.5 ",,"4,895.6 ","293,429.0 ",834.7 ,"3,860.1 ","3,025.4 ","294,263.6 ",,"299,646.8 ","222,725.5 ","77,394.9 ",,"82,517.6 ",,"288,365.8 ",,,
7- 9.,"292,464.6 ","169,457.8 ","166,868.8 ","139,536.6 ","18,611.9 ","38,688.4 ",190.4 ,"51,023.2 ","28,431.2 ",-488.5 ,"-1,603.8 ","20,656.7 ","22,260.5 ","-11,845.9 ",,"4,720.1 ","297,184.8 ",775.9 ,"3,822.8 ","3,046.9 ","297,960.7 ",,"302,232.1 ","224,433.8 ","78,298.0 ",,"82,880.3 ",,"292,848.3 ",,,
10-12.,"294,633.7 ","170,077.9 ","167,438.7 ","139,976.7 ","18,758.7 ","38,831.2 ","1,598.2 ","51,408.6 ","28,249.8 ",-405.0 ,"-2,479.1 ","21,524.5 ","24,003.6 ","-11,406.5 ",,"5,278.6 ","299,912.3 ",808.9 ,"4,033.6 ","3,224.7 ","300,721.2 ",,"305,622.9 ","227,497.0 ","78,571.4 ",,"83,004.3 ",,"292,832.0 ",,,
1984/ 1- 3.,"298,023.5 ","171,604.3 ","168,922.9 ","141,266.3 ","18,787.4 ","40,179.3 ","1,021.9 ","51,855.8 ","27,675.2 ",80.3 ,"-2,150.3 ","22,526.0 ","24,676.3 ","-11,030.3 ",,"5,905.1 ","303,928.6 ",854.3 ,"4,168.9 ","3,314.5 ","304,782.9 ",,"308,270.0 ","229,780.3 ","78,899.5 ",,"84,119.7 ",,"296,678.9 ",,,
4- 6.,"303,736.1 ","172,821.7 ","170,093.7 ","142,262.4 ","18,650.8 ","40,734.4 ",848.1 ,"52,516.9 ","30,613.7 ",38.3 ,"-1,563.0 ","23,219.4 ","24,782.4 ","-10,925.0 ",,"5,922.2 ","309,658.2 ",986.6 ,"4,403.9 ","3,417.3 ","310,644.9 ",,"313,079.1 ","231,247.2 ","82,502.1 ",,"87,138.1 ",,"302,702.3 ",,,
7- 9.,"306,008.3 ","174,796.0 ","172,016.7 ","143,968.4 ","18,779.3 ","42,337.5 ","1,468.7 ","52,579.2 ","27,338.3 ",593.1 ,"-1,810.7 ","23,822.3 ","25,633.0 ","-10,073.1 ",,"6,098.6 ","312,107.0 ",940.2 ,"4,710.5 ","3,770.3 ","313,047.2 ",,"315,627.4 ","236,167.3 ","79,768.3 ",,"86,349.6 ",,"303,597.3 ",,,
10-12.,"307,216.4 ","175,048.2 ","172,233.1 ","144,059.5 ","18,683.6 ","43,869.2 ",-17.5 ,"52,280.7 ","27,079.3 ",365.3 ,-648.4 ,"24,483.6 ","25,132.0 ","-9,444.1 ",,"6,125.7 ","313,342.0 ","1,296.0 ","5,261.4 ","3,965.4 ","314,638.0 ",,"314,792.5 ","236,048.6 ","78,989.7 ",,"87,846.1 ",,"307,158.2 ",,,
1985/ 1- 3.,"311,042.2 ","177,396.4 ","174,552.9 ","146,140.6 ","18,963.8 ","44,657.8 ","1,240.2 ","52,339.3 ","26,039.1 ",124.9 ,-780.8 ,"24,371.9 ","25,152.8 ","-8,938.4 ",,"5,997.1 ","317,039.4 ","1,448.4 ","5,497.5 ","4,049.1 ","318,487.8 ",,"319,087.8 ","241,334.7 ","77,752.8 ",,"88,083.4 ",,"309,380.5 ",,,
