"","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）"
"系列名称","Ｍ２／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","Ｍ３／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿Ｍ１／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","広義流動性／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿＿現金通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿＿預金通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿準通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿ＣＤ／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","Ｍ２／平／マネーストック","Ｍ３／平／マネーストック","＿Ｍ１／平／マネーストック","広義流動性／平／マネーストック","＿＿現金通貨／平／マネーストック","＿＿預金通貨／平／マネーストック","＿準通貨／平／マネーストック","＿ＣＤ／平／マネーストック"
"データコード",MD02'MAM1YAM2M2MO,MD02'MAM1YAM3M3MO,MD02'MAM1YAM3M1MO,MD02'MAM1YABLBLMO,MD02'MAM1YAM3CCMO,MD02'MAM1YAM3DMMO,MD02'MAM1YAM3QMMO,MD02'MAM1YAM3CDMO,MD02'MAM1NAM2M2MO,MD02'MAM1NAM3M3MO,MD02'MAM1NAM3M1MO,MD02'MAM1NABLBLMO,MD02'MAM1NAM3CCMO,MD02'MAM1NAM3DMMO,MD02'MAM1NAM3QMMO,MD02'MAM1NAM3CDMO
"単位",％,％,％,％,％,％,％,％,億円,億円,億円,億円,億円,億円,億円,億円
"収録開始期","1968/01","1997/01","1964/01","1981/01","1964/01","1964/01","1968/01","1980/05","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04"
"収録終了期","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04"
"最終更新日","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15","2019/05/15"
2017/12,3.6,3.1,6.8,3,4.5,7.2,-1.3,-0.1,9905721,13192095,7345538,17597511,990889,6354649,5530437,316120
2018/01,3.4,2.9,6.7,2.8,4.5,7,-1.5,-0.9,9917009,13206997,7371927,17608057,992386,6379541,5521380,313690
2018/02,3.2,2.7,6.3,2.5,4.5,6.6,-1.4,-2.1,9865773,13152045,7337047,17520923,985695,6351352,5510316,304682
2018/03,3.1,2.6,6.2,2.4,4.3,6.5,-1.5,-4.8,9890903,13169126,7406615,17517943,989655,6416960,5471292,291219
2018/04,3.2,2.7,6.3,2.5,4.3,6.6,-1.4,-3.7,10010867,13292729,7545588,17699901,991187,6554401,5454473,292668
2018/05,3.2,2.7,6.2,2.5,4,6.5,-1.4,-3.9,10031511,13312552,7565323,17776457,990460,6574863,5465651,281578
2018/06,3.1,2.7,6.5,2.4,4.2,6.9,-1.7,-7.2,10066296,13360470,7593071,17818693,989995,6603076,5467789,299610
2018/07,2.9,2.5,6.3,2.2,4,6.7,-1.9,-5.5,10067983,13379248,7603904,17843583,997324,6606580,5469990,305354
2018/08,2.9,2.5,6.3,2.2,3.8,6.7,-2,-4.3,10056518,13370068,7591960,17844850,999273,6592687,5471467,306641
2018/09,2.8,2.5,6.2,2.2,3.9,6.6,-2,-4.1,10065823,13378593,7610156,17864205,997874,6612282,5459294,309143
2018/10,2.7,2.3,5.8,2.1,3.7,6.2,-2,-2.5,10074312,13388451,7639033,17874227,1000641,6638392,5445536,303882
2018/11,2.3,2.1,5.5,1.9,3.5,5.8,-2.1,-3.3,10104965,13419874,7664868,17895117,1003606,6661262,5436178,318828
2018/12,2.4,2.1,5.4,1.9,3.4,5.7,-1.9,-5,10142344,13469598,7742590,17936939,1024489,6718101,5426796,300212
2019/01,2.3,2,5.2,1.9,3.3,5.5,-1.7,-5.3,10147892,13476850,7754473,17935691,1024665,6729808,5425184,297193
2019/02,2.4,2.1,5.4,2.1,3.1,5.7,-2,-4.1,10097659,13424013,7730888,17890034,1016368,6714520,5400932,292193
2019/03,2.4,2.1,5.5,2.4,3.1,5.9,-2.1,-6.6,10125124,13443533,7813715,17931986,1020802,6792913,5357861,271957
2019/04,2.6,2.2,5.7,2.2,3.6,6.1,-2.1,-9.4,10266287,13585418,7979088,18087759,1026945,6952143,5341204,265126
